stop_id, stop_code, stop_name, stop_desc, stop_lon, stop_lat, zone_id, stop_url, location_type, parent_station, stop_timezone, wheelchair_boarding
"653", "2077", "Rua São Bartolomeu", "Na praça", "-20.3175656247833", "-40.3491703554532", , , 0, , ,
"848", "2078", "Rua São João", "Em frente ao SAC - Morro do Quadro n°620", "-20.3163678419801", "-40.349030280515", , , 0, , ,
"356", "2079", "Rod Serafim Derenzi", "Próximo ao Society Fazendinha", "-20.290051602869", "-40.3395292913951", , , 0, , ,
"355", "2080", "Rod Serafim Derenzi", "Em frente ao Society Fazendinha", "-20.2900725873562", "-40.3398779508021", , , 0, , ,
"822", "2081", "Rua Flor De Lírio", "n°121", "-20.292677805136", "-40.340539029556", , , 0, , ,
"824", "2082", "Rua Flor De Lírio", "n°105", "-20.2926575687955", "-40.3404504154986", , , 0, , ,
"823", "2083", "Rua Das Oliveiras", "Poróximo a esquina com a rua Primavera", "-20.294666515323", "-40.3415570377549", , , 0, , ,
"825", "2084", "Rua Das Oliveiras", "De fronte ao nº 223.", "-20.294704986415", "-40.3414329615366", , , 0, , ,
"826", "2085", "Rua Primavera", "prox. a esquina com a Rua Flamboyans", "-20.2937451670656", "-40.3422690029046", , , 0, , ,
"827", "2086", "Rua Primavera", "prox. a esquina com a Rua Flamboyans", "-20.2938564096964", "-40.3423148325538", , , 0, , ,
"361", "2087", "Rod Serafim Derenzi", "Em frente a Deco Móveis", "-20.2932098962235", "-40.3434425281567", , , 0, , ,
"821", "2088", "Rod Serafim Derenzi", "Igreja de Cristo dos Santos dos Ultimos Dias", "-20.2934222304279", "-40.3434806406546", , , 0, , ,
"324", "2089", "Rod Serafim Derenzi", "Esquina com a rua Darcy Rodrigues", "-20.2947953090739", "-40.3440200228326", , , 0, , ,
"421", "2090", "Rod Serafim Derenzi", "Em frente as placas, nº 2001", "-20.2951675161604", "-40.3438348214632", , , 0, , ,
"323", "2091", "Rod Serafim Derenzi", "Defronte ao nº 1010", "-20.2965942172084", "-40.3449040181176", , , 0, , ,
"422", "2092", "Rod Serafim Derenzi", "De fronte a Rua Marilza Paranho Netto", "-20.2967278460256", "-40.3448852299546", , , 0, , ,
"423", "2093", "Rod Serafim Derenzi", "Próx. ao n°1830 - Prça Mário Faustino", "-20.2981265991802", "-40.3463263587273", , , 0, , ,
"424", "2094", "Rod Serafim Derenzi", "Esquina com a rua Ayres Vieira do Nascimento, Campo de futebol", "-20.2982080159546", "-40.3462134979177", , , 0, , ,
"425", "2095", "Rod Serafim Derenzi", "Em frente a LBV - Defronte a rua Manoel Ferreira Contanstino", "-20.2995592710585", "-40.3485051703893", , , 0, , ,
"426", "2096", "Rod Serafim Derenzi", "Em frente a rua Augusto Ayres do Nascimento", "-20.2996373885969", "-40.3482714477268", , , 0, , ,
"427", "2097", "Rod Serafim Derenzi", "Ao lado do n°1115", "-20.3007517881069", "-40.3501586803689", , , 0, , ,
"7", "2098", "Rod Serafim Derenzi", "Próx. ao nº 1649", "-20.3005183603565", "-40.3500139063652", , , 0, , ,
"98", "2099", "Rod Serafim Derenzi", "Em frente ao n°909", "-20.3036365726488", "-40.3499542391311", , , 0, , ,
"8", "2100", "Rod Serafim Derenzi", "Em frente ao n°880", "-20.3035907743859", "-40.3498503424268", , , 0, , ,
"105", "2101", "Rod Serafim Derenzi", "Em frente ao Material de Construção Tavinho", "-20.3057337898011", "-40.3497807654658", , , 0, , ,
"15", "2102", "Rod Serafim Derenzi", "CMEI Darcy Vargas", "-20.3059272583906", "-40.3497662199809", , , 0, , ,
"359", "2103", "Rod Serafim Derenzi", "Em frente a garagem da empresa Grande Vitória", "-20.2921215561256", "-40.3415372450381", , , 0, , ,
"820", "2104", "Rod Serafim Derenzi", "Simétrico ao portão da empresa Grande Vitória", "-20.2919217808121", "-40.3408762504727", , , 0, , ,
"100", "2105", "Rua Ernesto Bassini", "Em frente ao n402", "-20.3108471983197", "-40.3517010362672", , , 0, , ,
"101", "2106", "Rua Ernesto Bassini", "Entre o n357 e n350 (Sorveteria)", "-20.3107433506322", "-40.3515860192769", , , 0, , ,
"102", "2107", "Rua Ernesto Bassini", "Em frente ao n820", "-20.3139785709813", "-40.351866678151", , , 0, , ,
"103", "2108", "Rua Ernesto Bassini", "Em frente ao Zum Auto Center n 124", "-20.313804519626", "-40.3517209106587", , , 0, , ,
"365", "2109", "Rua Do Canal", "Esquina com a rua Itabira", "-20.2917818644167", "-40.3468071382822", , , 0, , ,
"326", "2110", "Rua Itabira", "Esquina com a rua Quatro de Julho.", "-20.2932616248754", "-40.3480641038955", , , 0, , ,
"327", "2111", "Rua Oito De Julho", "Prox. a esquina com a Rua da Galeria.", "-20.2947052109713", "-40.3482679994326", , , 0, , ,
"850", "2112", "Rua São João", "Em frente a Igreja Evangélica Pentecostal", "-20.3180374964557", "-40.3470980776592", , , 0, , ,
"849", "2113", "Rua São João", "Em frente ao nº 496", "-20.3174548858822", "-40.3483297054347", , , 0, , ,
"10", "2114", "Rua Benedito Barcelos", "Em frente ao n 99/A", "-20.305129372167", "-40.3468241311401", , , 0, , ,
"286", "2115", "Rua Colatino Barroso", "Em frente a Igreja São Sebastião", "-20.3155267029936", "-40.353474600402", , , 0, , ,
"285", "2116", "Rua Colatino Barroso", "Esquina com a rua Peçanha Povoa", "-20.3156217258872", "-40.353576338973", , , 0, , ,
"279", "2117", "Rua Colatino Barroso", "Em frente ao n°60", "-20.3147339116094", "-40.3531686108082", , , 0, , ,
"280", "2118", "Rua Colatino Barroso", "Próx. ao nº 130.", "-20.3147412447343", "-40.3529926311457", , , 0, , ,
"72", "2119", "Rua Benedito Barcelos", "Esquina coma a rua Maria Amélia", "-20.3039863337266", "-40.3465195277027", , , 0, , ,
"13", "2120", "Rua João Pereira Da Costa", "Em frente ao n°220", "-20.3028447571629", "-40.3472177029778", , , 0, , ,
"9", "2121", "Rua São Jorge", "Defronte ao n°267", "-20.3031060492072", "-40.3478787103849", , , 0, , ,
"5", "2122", "Rua Deozino Corrêa", "Defronte a Assembléia de Deus", "-20.3028149468734", "-40.3487513395461", , , 0, , ,
"6", "2123", "Rua Mário Rosendo", "Em frente ao nº 39. Esquina com a rua Deozino Correa.", "-20.3039066287019", "-40.3490372313965", , , 0, , ,
"4", "2124", "Rua Mário Rosendo", "Em frente a Igreja Assembléia de Deus, n°309", "-20.3044330438151", "-40.3484905033574", , , 0, , ,
"360", "2125", "Rua Onze De Janeiro", "Ao lado do n°185", "-20.292059640017", "-40.3432461863947", , , 0, , ,
"357", "2126", "Rua Onze De Janeiro", "Em frente ao n° 94", "-20.2921964765288", "-40.3432885597535", , , 0, , ,
"362", "2127", "Rua Onze De Janeiro", "Na esquina com a Rua Oito de Julho", "-20.2902865477703", "-40.3443583345109", , , 0, , ,
"366", "2128", "Rua Onze De Janeiro", "Em frente ao nº 87", "-20.2903373154527", "-40.3444238469414", , , 0, , ,
"363", "2129", "Rua Do Canal", "Em frente a rua Presidente", "-20.2893127991857", "-40.3468025701605", , , 0, , ,
"367", "2130", "Rua Do Canal", "Defronte ao Ancoradouro", "-20.2892873498236", "-40.3466157066529", , , 0, , ,
"325", "2131", "Rua Do Canal", "Em frente a rua 21 de Novembro", "-20.2908794149597", "-40.3474827017556", , , 0, , ,
"364", "2132", "Rua Do Canal", "Quase esquina c/ a rua 21 de novembro", "-20.2907774164276", "-40.3474567801462", , , 0, , ,
"413", "2133", "Av  Nair Azevedo Silva", "Próximo ao Shopping da Vila", "-20.3195299403812", "-40.3499093142402", , , 0, , ,
"417", "2134", "Av  Alexandre Buaiz", "Dentro da Rodoviária", "-20.3229013940111", "-40.3512984596814", , , 0, , ,
"419", "2135", "Rua Projetada", "Trevo para a Rodoviária,  de frente para bosque", "-20.3202332106148", "-40.3512871360936", , , 0, , ,
"420", "2136", "Av  Duarte Lemos", "De fronte ao Ed. Braz n° 340 / Ao lado do posto de gasolina.", "-20.319183472317", "-40.3477195781528", , , 0, , ,
"416", "2137", "Rua Projetada", "Em frente a Rodoviária", "-20.320295923257", "-40.3518348772455", , , 0, , ,
"415", "2138", "Rua Projetada", "Em cima do viaduto (pracinha).", "-20.3212109566578", "-40.3502336959886", , , 0, , ,
"418", "2139", "Rua Querubino Costa", "Esquina com a rua Fenelon Gomes.", "-20.322547937405", "-40.3494280665944", , , 0, , ,
"414", "2140", "Rua Querubino Costa", "Esquina coma rua Joaquim Gaudio.", "-20.3216533400849", "-40.3485575427598", , , 0, , ,
"412", "2141", "Av  Alexandre Buaiz", "Próximo a rua Querubino Costa", "-20.3228840421836", "-40.350417474397", , , 0, , ,
